LemmaID	singularForm	singularPatter	brokenPluralForm	brokenPluralPattern
n@>asotik_1@1	>asotik	>afoEil	>asAtik	>afAEil
n@$aT~_1@1	$aT~	faE~	$uTuwT	fuEuwl
n@$aT~_1@1	$aT~	fal~	$uTuwT	fuEuwl
n@$ATi}_1@0	$ATi}	fAEil	$awATi}	fawAEil
n@$atiyl_1@1	$atiyl	faEiyl	$atA}il	faEA}il
n@$atiymap_1@0	$atiymap	faEiylap	$atA}im	faEA}il
n@$aTiyrap_1@1	$aTiyrap	faEiylap	$aTA}ir	faEA}il
n@>aTolas_2@1	>aTolas	>afoEal	>aTAlis	>afAEil
n@>aTolas_2@1	>aTolas	faEolal	>aTAlis	faEAlil
n@$aTon_2@0	$aTon	faEol	>a$oTAn	>afoEAl
n@>at~uwn_1@1	>at~uwn	faE~uwl	>atAtiyn	faEAliyl
n@>awAn_1@0	>awAn	faEAl	|winap	|Eilap
n@$awobak_1@1	$awobak	faEolal	$awAbik	faEAlil
n@$awobak_1@1	$awobak	faEolal	$awAbik	fawAEil
n@$awobak_1@1	$awobak	fawoEal	$awAbik	fawAEil
n@>awodap_1@0	>awodap	faEolap	<iwAd	fiEAl
n@>awofaY_2@0	>awofaY	>afoEal	>awofaY	faEolaY
n@$awok_1@0	$awok	faEol	>a$owAk	>afoEAl
n@$awoq_1@1	$awoq	faEol	>a$owAq	>afoEAl
n@>axiy*_1@0	>axiy*	faEiyl	>axo*aY	faEolaY
n@>axomaS_1@1	>axomaS	>afoEal	>axAmiS	>afAEil
n@>axomaS_1@1	>axomaS	faEolal	>axAmiS	faEAlil
n@$axoS_1@1	$axoS	faEol	>a$oxAS	>afoEAl
n@$axoS_1@1	$axoS	faEol	$uxuwS	fuEuwl
n@$axotuwr_1@1	$axotuwr	faEoluwl	$axAtiyr	faEAliyl
n@$ayoTAn_1@0	$ayoTAn	faEolAl	$ayATiyn	faEAliyl
n@$ayox_1@1	$ayox	faEol	>a$oyAx	>afoEAl
n@$ayox_1@1	$ayox	faEol	$uyuwx	fuEuwl
n@$aZaf_1@1	$aZaf	faEal	$iZAf	fiEAl
n@>azoEar_2@0	>azoEar	>afoEal	zuEorAn	fuEolAn
n@bAb_1@0	bAb	fAl	>abowAb	>afoEAl
n@bAb_1@0	bAb	fAl	biybAn	fiylAn
n@babor_1@1	babor	faEol	bubuwr	fuEuwl
n@bAbuwj_1@1	bAbuwj	fAEuwl	bawAbiyj	fawAEiyl
n@bAbuwr_1@0	bAbuwr	fAEuwl	bawAbiyr	fawAEiyl
n@bAdirap_1@0	bAdirap	fAEilap	bawAdir	fawAEil
n@badiyEap_1@0	badiyEap	faEiylap	badA}iE	faEA}il
n@bAE_1@1	bAE	fAl	>abowAE	>afoEAl
n@baEiyr_1@1	baEiyr	faEiyl	buEorAn	fuEolAn
n@baEol_1@0	baEol	faEol	biEAl	fiEAl
n@baEol_1@0	baEol	faEol	buEuwl	fuEuwl
n@baEov_3@1	baEov	faEol	buEuwv	fuEuwl
n@bagiy~_1@1	bagiy~	faEiy~	bagAyA	faEAlA
n@bagol_1@0	bagol	faEol	>abogAl	>afoEAl
n@bagol_1@0	bagol	faEol	bigAl	fiEAl
n@baHor_1@1	baHor	faEol	>aboHAr	>afoEAl
n@baHor_1@1	baHor	faEol	>aboHur	>afoEul
n@baHor_1@1	baHor	faEol	biHAr	fiEAl
n@baHor_1@1	baHor	faEol	buHuwr	fuEuwl
n@bahow_1@1	bahow	faEol	>abohA'	>afoEAl
n@bahow_1@1	bahow	faEol	>abohA}	>afoEAl
n@bahow_1@1	bahow	faEol	>abohA&	>afoEAl
n@bA}iqap_1@0	bA}iqap	fAEilap	bawA}iq	faEA}il
n@bA}iqap_1@0	bA}iqap	fAEilap	bawA}iq	fawAEil
n@ba$iyr_2@1	ba$iyr	faEiyl	bu$arA'	fuEalA'
n@bAkirap_1@1	bAkirap	fAEilap	bawAkir	fawAEil
n@bAkiy_1@2	bAkiy	fAEiy	bukAap	fuEAap
n@bakor_2@0	bakor	faEol	>abokur	>afoEul
n@bakor_2@0	bakor	faEol	bukorAn	fuEolAn
n@bakoraj_1@1	bakoraj	faEolal	bakArij	faEAlil
n@balad_1@2	balad	faEal	bulodAn	fuEolAn
n@bal~AS_1@1	bal~AS	faE~Al	balAliyS	faEAliyl
n@baliy~ap_1@1	baliy~ap	faEiy~ap	balAyA	faEAyA
n@baloEam_1@1	baloEam	faEolal	balAEim	faEAlil
n@baloqaE_1@1	baloqaE	faEolal	balAqiE	faEAlil
n@banod_1@0	banod	faEol	bunuwd	fuEuwl
n@banodar_2@1	banodar	faEolal	banAdir	faEAlil
n@banok_1@1	banok	faEol	bunuwk	fuEuwl
n@ba$okiyr_1@1	ba$okiyr	faEoliyl	ba$Akiyr	faEAliyl
n@baqiy~ap_1@1	baqiy~ap	faEiy~ap	baqAyA	faEAyA
n@baqo$iy$_1@1	baqo$iy$	faEoliyl	baqA$iy$	faEAliyl
n@baqol_1@0	baqol	faEol	buquwl	fuEuwl
n@bArijap_1@0	bArijap	fAEilap	bawArij	fawAEil
n@bariyzap_1@1	bariyzap	faEiylap	barA}iz	faEA}il
n@baro*aEap_1@1	baro*aEap	faEolalap	barA*iE	faEAlil
n@barobax_1@1	barobax	faEolal	barAbix	faEAlil
n@barodaEap_1@0	barodaEap	faEolalap	barAdiE	faEAlil
n@baroguwv_1@1	baroguwv	faEoluwl	barAgiyv	faEAliyl
n@baromaq_1@1	baromaq	faEolal	barAmiq	faEAlil
n@baromiyl_1@1	baromiyl	faEoliyl	barAmiyl	faEAliyl
n@baroniy~ap_1@1	baroniy~ap	faEoliy~ap	barAniy	faEAliy
n@barowAz_1@0	barowAz	faEolAl	barAwiyz	faEAliyl
n@barozax_1@1	barozax	faEolal	barAzix	faEAlil
n@bAruwdap_1@1	bAruwdap	fAEuwlap	bawAriyd	fawAEiyl
n@bas~ap_1@1	bas~ap	faE~ap	bisAs	filAl
n@bASirap_1@1	bASirap	fAEilap	bawASir	fawAEil
n@baSiyrap_1@0	baSiyrap	faEiylap	baSA}ir	faEA}il
n@baT~_1@1	baT~	faE~	buTuwT	fuEuwl
n@baT~_1@1	baT~	fal~	buTuwT	fuEuwl
n@baTal_1@0	baTal	faEal	>aboTAl	>afoEAl
n@bATiyap_1@0	bATiyap	fAEilap	bawATiy	fawAEil
n@baxo$iy$_1@1	baxo$iy$	faEoliyl	baxA$iy$	faEAliyl
n@bayodaq_1@1	bayodaq	faEolal	bayAdiq	faEAlil
n@bayodaq_1@1	bayodaq	fayoEal	bayAdiq	fayAEil
n@bayodar_1@1	bayodar	faEolal	bayAdir	faEAlil
n@bayodar_1@1	bayodar	fayoEal	bayAdir	fayAEil
n@bayoraq_1@0	bayoraq	faEolal	bayAriq	faEAlil
n@bayoraq_1@0	bayoraq	fayoEal	bayAriq	fayAEil
n@bAz_1@1	bAz	fAl	biyzAn	fiylAn
n@bAziy_1@0	bAziy	fAEil	bawAziy	fawAEil
n@bAziy_1@0	bAziy	fAEiy	buzAap	fuEAap
n@bazobuwz_1@0	bazobuwz	faEoluwl	bazAbiyz	faEAliyl
n@baZor_1@1	baZor	faEol	buZuwr	fuEuwl
n@bidoEap_1@1	bidoEap	fiEolap	bidaE	fiEal
n@binoSir_1@1	binoSir	fiEolil	banASir	faEAlil
n@bi}or_1@1	bi}or	fiEol	bi}Ar	fiEAl
n@birobap_1@1	birobap	fiEolal	barAbiy	faEAlil
n@birokap_1@1	birokap	fiEolap	birak	fiEal
n@biroTiyl_1@1	biroTiyl	fiEoliyl	barATiyl	faEAliyl
n@biToriyq_1@1	biToriyq	fiEoliyl	baTAriqap	faEAlilap
n@biToriyq_1@1	biToriyq	fiEoliyl	baTAriyq	faEAliyl
n@bizor_1@0	bizor	fiEol	buzuwr	fuEuwl
n@buEobuE_1@1	buEobuE	fuEolul	baEAbiE	faEAlil
n@buEod_1@0	buEod	fuEol	>aboEAd	>afoEAl
n@buholuwl_1@1	buholuwl	fuEoluwl	bahAliyl	faEAliyl
n@bulobul_1@1	bulobul	fuEolul	balAbil	faEAlil
n@buloEuwm_1@1	buloEuwm	fuEoluwl	balAEiym	faEAliyl
n@bunoduq_1@1	bunoduq	fuEolul	banAdiq	faEAlil
n@bunoduwq_1@0	bunoduwq	fuEoluwl	banAdiyq	faEAliyl
n@bunoT_1@1	bunoT	fuEol	bunuwT	fuEuwl
n@bunoTap_1@0	bunoTap	fuEolap	bunaT	fuEal
n@bu&orap_1@1	bu&orap	fuEolap	bu&ar	fuEal
n@buqojap_1@1	buqojap	fuEolap	buqaj	fuEal
n@buro$_1@1	buro$	fuEol	>aborA$	>afoEAl
